pdf,global_id,dataset,well_name,locid,parlabel,parvq,risunits,logdate,lat,long,ns

null,11120561,FRACK,Vintage Production California LLC,59,!HAMP! 59 - DIRECTIONALLY DRILLED,=,null,OJAI OILFIELD,34.4349197,-119.09572,1
Y,03043940,FRACK,Vintage Production California LLC,310-9H,!METTLER! 310-9H - HORIZONTALLY DRILLED,=,null,SHAFTER NORTH OILFIELD,35.522074,-119.27466,1
Y,03049888,FRACK,Aera Energy LLC,Lost Hills Govt 7425 ,WELL # LOST HILLS GOVT 7425 ,=,null,LOST HILLS OILFIELD,35.663858,-119.76060,1
Y,03046983,FRACK,Aera Energy LLC,732ZL-29,WELL # 732ZL-29,=,null,BELRIDGE SOUTH OILFIELD,35.467862,-119.73666,1
Y,03045497,FRACK,Occidental of Elk Hills Inc.,27E-35R,WELL # 27E-35R,=,null,ELK HILLS OILFIELD,35.270379,-119.47967,1
null,11120430,FRACK,Mirada Petroleum Inc.,44,!HAMP FEE! 44 - DIRECTIONALLY DRILLED,=,null,OJAI OILFIELD,34.4362953,-119.10297,1
Y,03049298,FRACK,Aera Energy LLC,936K-34 ,WELL # 936K-34 ,=,null,BELRIDGE SOUTH OILFIELD,35.446086,-119.70151,1
Y,03048832,FRACK,Aera Energy LLC,549C4-35,WELL # 549C4-35,=,null,BELRIDGE NORTH OILFIELD,35.531554,-119.78057,1
null,11122011,FRACK,Aera Energy LLC,267,!LLOYD! 267 - DIRECTIONALLY DRILLED,=,null,VENTURA OILFIELD,34.316292,-119.26415,1
null,03711627,FRACK,Linn Operating Inc.,D-14,!PUENTE! D-14,=,null,BREA-OLINDA OILFIELD,33.9542804,-117.91363,1
Y,03048211,FRACK,Aera Energy LLC,953Z-33,WELL # 953Z-33 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.450804,-119.71413,1
null,03021482,FRACK,Vintage Production California LLC,36B,!ALTA VEDDER! 36B - NOT DIRECTIONALLY DRILLED,=,null,MOUNT POSO OILFIELD,35.607074,-118.96989,1
Y,03047985,FRACK,Chevron USA Inc. ,Sec 4 6-7D ,WELL # SEC 4 6-7D ,=,null,LOST HILLS OILFIELD,35.606702,-119.71665,1
Y,03046980,FRACK,Aera Energy LLC,731EU-29,WELL # 731EU-29 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.469944,-119.73831,1
Y,03047069,FRACK,Aera Energy LLC,87WER-19,!KING! 87WER-19,=,null,BELRIDGE SOUTH OILFIELD,35.473501,-119.74511,1
Y,03048681,FRACK,Occidental of Elk Hills Inc.,88N-34R,WELL # 88N-34R,=,null,ELK HILLS OILFIELD,35.2696294,-119.48482,1
Y,02913335,FRACK,Occidental of Elk Hills Inc.,521-1C,WELL # 521-1C,=,null,BUENA VISTA OILFIELD,35.179501,-119.45910,1
null,11120280,FRACK,Seneca Resources Corporation,78-32,!HANSEN! 78-32 - NOT DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4686604,-118.88767,1
null,11120461,FRACK,Vintage Production California LLC,49,!HAMP! 49 - DIRECTIONALLY DRILLED,=,null,OJAI OILFIELD,34.4349409,-119.09579,1
Y,03048272,FRACK,Aera Energy LLC,723ZU-29,WELL # 723ZU-29,=,null,BELRIDGE SOUTH OILFIELD,35.465974,-119.73885,1
null,11120877,FRACK,Seneca Resources Corporation,15-28,!SHALE RIDGE! 15-28 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4882638,-118.88492,1
Y,03044382,FRACK,Exxon Mobil Corporation,674DW,!HILL! 674DW,=,null,BELRIDGE SOUTH OILFIELD,35.478616,-119.74688,1
Y,03048739,FRACK,Aera Energy LLC,7485C-2,!BELRIDGE V! 7485C-2,=,null,BELRIDGE SOUTH OILFIELD,35.429814,-119.68523,1
Y,03048535,FRACK,Aera Energy LLC,948GR2-34 ,WELL # 948GR2-34 ,=,null,BELRIDGE SOUTH OILFIELD,35.44243,-119.69927,1
Y,03044463,FRACK,Exxon Mobil Corporation,633CW,!HILL! 633CW - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.480242,-119.75539,1
null,11122022,FRACK,Renaissance Petroleum LLC,5,!VIVIAN ROSENMUND! 5 - DIRECTIONALLY DRILLED,=,null,CABRILLO OILFIELD,34.171314,-119.13434,1
Y,03047087,FRACK,Occidental of Elk Hills Inc.,31-31R,WELL # 31-31R - DIRECTIONALLY DRILLED,=,null,ASPHALTO OILFIELD,35.280751,-119.54890,1
Y,03046676,FRACK,Occidental Oil and Gas ,Good Show 12H ,WELL # GOOD SHOW 12H ,=,null,ROSE OILFIELD,35.63028,-119.34937,1
null,11101290,FRACK,Shell Western Exploration  AND  Production Inc.,1,!MCINNES! 1 - NOT DIRECTIONALLY DRILLED,=,null,OXNARD OILFIELD,34.2025328,-119.12955,1
Y,03046186,FRACK,Aera Energy LLC,7245,!LOST HILLS TWO! 7245,=,null,LOST HILLS OILFIELD,35.653688,-119.75668,1
Y,03049253,FRACK,Aera Energy LLC,532A2-35 ,WELL # 532A2-35 ,=,null,BELRIDGE NORTH OILFIELD,35.535426,-119.78031,1
Y,03045975,FRACK,Aera Energy LLC,914CR-34,WELL # 914CR-34 - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.449216,-119.70662,1
null,11120222,FRACK,Seneca Resources Corporation,61-6,!BONEBRAKE B! 61-6 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4664383,-118.90278,1
null,05905538,FRACK,Columbine Associates,5,!DOMETAL! 5,=,null,ESPERANZA OILFIELD,33.89631,-117.76567,1
Y,03047903,FRACK,Aera Energy LLC,933CR-29 ,WELL # 933CR-29 ,=,null,BELRIDGE SOUTH OILFIELD,35.465667,-119.73752,1
null,11102696,FRACK,Sespe Lease Inc.,3,!BLINN! 3 - NOT DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4561105,-118.91451,1
Y,03047071,FRACK,Aera Energy LLC,87WJR-19,!KING! 87WJR-19,=,null,BELRIDGE SOUTH OILFIELD,35.472455,-119.74343,1
Y,03044693,FRACK,Chevron U.S.A. Inc.,1-9B,WELL # 1-9B,=,null,LOST HILLS OILFIELD,35.6341384,-119.74211,1
null,05905535,FRACK,Columbine Associates,2,!DOMETAL! 2,=,null,ESPERANZA OILFIELD,33.8959342,-117.76345,1
Y,03044621,FRACK,Aera Energy LLC,541AR-29,WELL # 541AR-29 - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.468605,-119.73557,1
Y,03726421,FRACK,Plains Exploration  AND  Production Company ,VIC1 635 ,WELL # VIC1 635 ,=,null,INGLEWOOD OILFIELD,34.00235,-118.37712,1
Y,03046647,FRACK,Aera Energy LLC,7267-2,!BELRIDGE I! 7267-2 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.434953,-119.69027,1
Y,03047034,FRACK,Aera Energy LLC,55WC-19,!ELLIS! 55WC-19 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.476348,-119.75097,1
null,11121264,FRACK,Vintage Production California LLC,117,!OJAI! 117 - DIRECTIONALLY DRILLED,=,null,OJAI OILFIELD,34.4301218,-119.13032,1
null,03716458,FRACK,Linn Operating Inc.,2,!ORANGE-GRAZIDE! 2,=,null,BREA-OLINDA OILFIELD,33.9476730,-117.89590,1
null,11121588,FRACK,Seneca Resources Corporation,186-20,!IRELAND! 186-20 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.5025207,-118.88254,1
Y,03048532,FRACK,Aera Energy LLC,937DR-34 ,WELL # 937DR-34 ,=,null,BELRIDGE SOUTH OILFIELD,35.444521,-119.70114,1
Y,03048206,FRACK,Aera Energy LLC,931S-33,WELL # 931S-33 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.45392,-119.71910,1
Y,03044499,FRACK,Exxon Mobil Corporation,631KW,!HILL! 631KW,=,null,BELRIDGE SOUTH OILFIELD,35.484067,-119.75514,1
Y,03047902,FRACK,Aera Energy LLC,924SR-29,WELL # 924SR-29 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.463127,-119.73936,1
Y,03048928,FRACK,Aera Energy LLC,538GR2-18 ,WELL # 538GR2-18 ,=,null,BELRIDGE SOUTH OILFIELD,35.486339,-119.75554,1
Y,03049015,FRACK,Occidental Oil and Gas ,78-18R ,WELL # 78-18R ,=,null,ELK HILLS OILFIELD,35.310943,-119.54076,1
Y,03047532,FRACK,Aera Energy LLC,6318,!LOST HILLS ONE! 6318 - DIRECTIONALLY DRILLED,=,null,LOST HILLS OILFIELD,35.608636,-119.71996,1
Y,03048526,FRACK,Aera Energy LLC,515Z1-34 ,WELL # 515Z1-34 ,=,null,BELRIDGE SOUTH OILFIELD,35.447815,-119.70510,1
Y,03048686,FRACK,Chevron USA Inc. ,32F 12-11ER ,WELL # 32F 12-11ER ,=,null,LOST HILLS OILFIELD,35.621806,-119.73287,1
Y,03047066,FRACK,Aera Energy LLC,78WBR-19,!KING! 78WBR-19,=,null,BELRIDGE SOUTH OILFIELD,35.471612,-119.74537,1
Y,03050136,FRACK,Aera Energy LLC,976GR-29 ,WELL # 976GR-29 ,=,null,BELRIDGE SOUTH OILFIELD,35.460567,-119.72867,1
Y,03041642,FRACK,Exxon Mobil Corporation,643C,!HILL! 643C,=,null,BELRIDGE SOUTH OILFIELD,35.48007,-119.75205,1
null,11120613,FRACK,Seneca Resources Corporation,66-29,!RED ROCK! 66-29 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4880179,-118.88947,1
Y,03037933,FRACK,Oxy USA Inc.,1-17,!BEAR MOUNTAIN! 1-17,=,null,ANY FIELD OILFIELD,35.2313,-119.20404,1
null,11102752,FRACK,Seneca Resources Corporation,88-29,!SHALE RIDGE! 88-29 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4838540,-118.88548,1
Y,03047743,FRACK,Aera Energy LLC,516C1-20,WELL # 516C1-20 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.474847,-119.74223,1
Y,03049343,FRACK,Aera Energy LLC,712ZL-29 ,WELL # 712ZL-29 ,=,null,BELRIDGE SOUTH OILFIELD,35.467989,-119.74119,1
Y,03044623,FRACK,Aera Energy LLC,542ER3-29,WELL # 542ER3-29 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.468409,-119.73574,1
null,11120976,FRACK,Seneca Resources Corporation,58-29,!RED ROCK! 58-29 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4834447,-118.89057,1
Y,23727149,FRACK,Thums Long Beach Co.,C-349,WELL # C-349 - DIRECTIONALLY DRILLED,=,null,WILMINGTON OILFIELD,33.740241,-118.13882,1
null,11120041,FRACK,Seneca Resources Corporation,72A-5,!ARUNDELL! 72A-5 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4656622,-118.88792,1
Y,03047165,FRACK,Aera Energy LLC,7385E-2,!BELRIDGE V! 7385E-2 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.432542,-119.68495,1
Y,03049301,FRACK,Aera Energy LLC,946M-34 ,WELL # 946M-34 ,=,null,BELRIDGE SOUTH OILFIELD,35.445375,-119.69964,1
